SIGLA	NOME CONFERÊNCIA	Qualis
DDECS	International Symposium on Design and Diagnostics of Electronic Circuits and Systems	B1
DEBS	International Conference on Distributed and Event-Based Systems	A2
DeMiMoP	Workshop on Decision Mining & Modeling for Business Processes	B4
DepCoS-RELCOMEX	International Conference on Dependability and Complex Systems	B3
DesafIE	Workshop de Desafios da Computação Aplicada à Educação	B4
DEXA	International Conference on Database and Expert Systems Applications	B1
DFT	IEEE International Symposium on Defect and Fault Tolerance in VLSI Systems	B1
DG.O	Annual International Conference on Digital Government Research	B1
DILS	International Conference on Data Integration in Life Sciences	B2
DMNPL	Workshop on Interactions between Data Mining and Natural Language Processing	B4
DOCENG	ACM SIGWEB International Symposium on Document Engineering	B1
DOLAP	" International Workshop On Data Warehousing and OLAP"	B1
DP	SPIE Digital Photography	B5
DRCN	International Conference on the Design of Reliable Communication Networks	B1
DroNet	Workshop on Micro Aerial Vehicle Networks, Systems, and Applications for Civilian Use	B4
DSD	Euromicro Conference on Digital System Design	B1
DSN	Annual IEEE/IFIP International Conference on Dependable Systems and Networks	A1
DSRT	IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications	B2
EANN	Internation Conference on Engineering Applications of Neural Networks	B3
EASE	International Conference on Evaluation and Assessment in Software Engineering	B1
EASE	19th International Conference on EASE	B1
EATIS	Euro American Conference on Telematics and Information Systems	B3
EATIS	7th Euro American Conference	B3
ECAI	European Conference on Artificial Intelligence	A2
ECAL	European Conference on Artificial Life	B1
ECC	European Control Conference	B2
ECCE	European Conference on Cognitive Ergonomics	B2
ECCTD	European Conference on Circuit Theory and Design	B2
ECIR	European Conference on Information Retrieval	A2
ECIS	European Conference on Information Systems	A2
ECMFA	European Conference on Modelling Foundations and Applications	B1
ECML-PKDD	European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases	A1
ECMS	European Conference on Modelling and Simulation	B2
ECOOP	European Conference on Object-Oriented Programming	A2
ECRTS	"26th Euromicro Conference on Real-Time Systems"	A1
ECRTS	Euromicro Conference on Real-Time Systems	A1
ECSA	European Conference on Software Architecture	B1
ECSAW	European Conference on Software Architecture Workshops	B4
ECSQARU	European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty	B1
EDBT	International Conference on Extending Database Technology	A1
EDCC	European Dependable Computing Conference	B3
EDM	International Conference on Educational Data Mining	A2
EDOC	IEEE International Enterprise Distributed Object Computing Conference	A2
EEE	International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government	B5
EGOV	International Conference on Electronic Government	B1
EICS	Symposium on Engineering Interactive Computing Systems	A2
EIS	SPIE Human Vision and Electronic Imaging	B5
eKNOW-IARIA	IARIA International Conference on Information, Process, and Knowledge Management	B5
EMAS	International Workshop on Engineering Multiagent Systems	B4
EMNLP	Conference on Empirical Methods in Natural Language Processing	A1
EMO	International Conference on Evolutionary Multi-Criterion Optimization	B1
ENASE	International Conference on Evaluation of Novel Approaches to Software Engineering	B2
ENERGY	IARIA International Conference on Smart Grids, Green Communications and IT Energy-aware Technologies	B5
ENIAC	Encontro Nacional de Inteligencia Artificial e Computacional	B4
EPIA	Portuguese Conference on Artificial Intelligence	B2
ER	International Conference on Conceptual Modeling	B1
ERLANG	ACM SIGPLAN Erlang Workshop	B4
ESA	European Symposium on Algorithms	A2
ESANN	European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning	B1
e-Science	IEEE International Conference on e-Science	B1
ESEC/FSE	" Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering"	A1
ESEM	ACM/IEEE International Symposium on Empirical Software Engineering and Measurement	A2
ESWC	European Semantic Web Conference	A1
E-Telemed	IARIA International Conference on eHealth, Telemedicine, and Social Medicine	B5
ETFA	IEEE International Conference on Emerging Technologies and Factory Automation	B2
ETS	European Test Symposium	B1
EUC	IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing	B2
EUMAS	European Conference on Multi-Agent Systems	B2
EURO	European Conference on Operational Research	B4
EUROCG	European Workshop on Computational Geometry	B5
EuroComb	European Conference on Combinatorics, Graph Theory and Applications	B5
EuroGP	European Conference on Genetic Programming	B1
EUROITV	European Conference on Interactive TV	B3
EUROPAR	European Conference on Parallel Computing	A1
EuroPKI	European Public Key Infrastructure Workshop	B4
EuroPloP	" European Conference on Pattern Languages of Programs"	B3
EUROSYS	European Conference on Computer Systems	A1
EUSFLAT	Conference of the European Society for Fuzzy Logic and Technology	B2
EUSIPCO	European Signal Processing Conference	A2
EUVIP	European Workshop on Visual Information Processing	B2
EVA	Electronic Visualisation and the Arts	B5
EVL-BP	International Workshop on Evolutionary Business Processes	B4
EvoApplications	European Conference on the Applications of Evolutionary Computation	B1
EVOCOP	European Conference on Evolutionary Computation in Combinatorial Optimization	B1
EVOLVE	The EVOLVE International conference	B2
EWSDN	European Workshop on Software Defined Networks	B1
EWSN	European Conference on Wireless Sensor Networks	B2
EXAMPI	Workshop on Exascale MPI	B4
EXP.AT	Experiment@ International Conference	B3
FACS	International Conference on Formal Aspects of Component Software	B2
FASE	International Conference on Fundamental Approaches to Software Engineering	A2
FAW	International Frontiers of Algorithmics Workshop	B2
FCCM	IEEE Annual International Symposium on Field-Programmable Custom Computing Machines	A2
FCTA	International Conference on Fuzzy Computation Theory and Applications	B4
FDL	Forum on Specification & Design Languages	B2
FECS	WS International Conference on Frontiers in Education: Computer  Science and Computer Engineering	B5
FedCSIS	Federated Conference on Computer Science and Information Systems	B1
FG	Conference on Formal Grammar	B2
FG	IEEE International Conference on Automatic Face and Gesture Recognition	A1
FIE	IEEE Frontiers in Education Conference	B1
FLAIRS	International Florida Artificial Intelligence Conference (AAAI)	B1
FLinAI	Workshop on Fuzzy Logic in AI	B4
FLINS	International FLINS Conference on Decision Making and Soft Computing	B5
FM	International Symposium on Formal Methods	A2
FMCAD	International Conference on Formal Methods in Computer-Aided Design	A2
FOCI	IEEE Symposium on Foundations of Computational Intelligence	B4
FOFAI	International Workshop on Formal Ontologies for Artificial Intelligence	B4
FOIS	International Conference on Formal Ontology in Information Systems	B4
FPL	International Conference on Field-Programmable Logic and Applications	A2
FSKD	International Conference on Fuzzy Systems and Knowledge Discovery	B1
FSTTCS	Annual Conference on Foundations of Software Technology and Theoretical Computer Science	B1
FUSION	International Conference on Information Fusion	A1
FUZZIEEE	IEEE International Conference on Fuzzy Systems	B1
GCCE	IEEE Global Conference on Consumer Electronics	B4
GECCO	Genetic and Evolutionary Computation Conference	A1
GeoInfo	Brazilian Symposium on GeoInformatics	B5
GeoPrivacy	Workshop on Privacy in Geographic Information Collection and Analysis	B4
GeoProcessing	IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services	B5
GIIS	Global Information Infrastructure and Networking Symposium	B2
GlobalSIP	Global Conference on Signal and Information Processing	B1
GLOBECOM	IEEE Global Communications Conference	A1
GLSVLSI	ACM Great Lakes Symposium on VLSI	B1
GPC	International Conference on Grid And Pervasive Computing	B2
GPCE	ACM International Conference on Generative Programming: Concepts and Experiences	B2
GRAPHICSI	Graphics Interface	B1
GRAPHICSINTERFACE	"Graphics Interface - International Conference on Graphics, Visualization, Human-Computer Interaction"	B1
GRAPP	International Conference on Computer Graphics Theory and Applications	B2
GI	International Conference on Graphics, Visualization, & Human-Computer Interaction	B1
GREENS	International Workshop on Green and Sustainable Software	B4
GROUP	International Conference on Supporting Group Work	B2
HAIS	International Conference on Hybrid Artificial Intelligence Systems	B1
HASE	IEEE International Symposium on High Assurance Systems Engineering	B1
Hcomp	Conference on Human Computation and Crowdsourcing	B1
HealthCom	IEEE International Conference on E-health Networking, Application & Services	B2
HICSS	Hawaii International Conference on System Sciences	A1
HiPC	IEEE International Conference on High Performance Computing	B1
HIS	International Conference on Hybrid Intelligent Systems	B2
HLT	International Conference Baltic Human Language Technology	A1
HotNets	ACM Workshop on Hot Topics in Networks	A1
HPCC	International Conference on High Performance Computing and Communications	A2
HPCA	2015 IEEE  21st International Symposium on High Performance Computer Architecture	A1
HPCA	IEEE  International Symposium on High Performance Computer Architecture	A1
HPCS	International Conference on High Performance Computing & Simulation	B1
HPDC	International Symposium on High Performance Distributed Computing	A1
HPPN	Workshop on High Performance and Programmable Networking	B5
HT	ACM Conference on Hypertext and Social Media	A2
HUMANCOM	International Conference on Human-centric Ubiquitous Computing and Applications	B5
I2MTC	IEEE International Instrumentation and Measurement Technology Conference	A2
I3D	ACM Symposium on Interactive 3D Graphics and Games	A2
ICEEG	International Conference on e-Commerce, e-Business, and e-Government	B3
IAS	Industry Applications Society Annual Meeting	B2
IAT	IEEE/WIC/ACM International Conference on Intelligent Agent Technology	B1
IBERAMIA	Ibero-American Conference on Artificial Intelligence	B2
Iberchip	Iberchip Workshop	B5
IbPRIA	Iberian Conference on Pattern Recognition and Image Analysis	B2
ICAART	International Conference on Agents and Artificial Intelligence	B1
ICAI-WC	International Conference on Artificial Intelligence	B5
ICAISC	International Conference on Artificial Intelligence and Soft Computing	A2
ICALT	IEEE International Conference on Advanced Learning Technologies	B1
ICANN	International Conference on Artificial Neural Networks	B1
ICAR	International Conference on Advanced Robotics	B1
ICARSC	IEEE International Conference on Autonomous Robot Systems and Competitions	B5
ICAS	IARIA International Conference on Autonomic and Autonomous Systems	B5
ICASSP	IEEE International Conference on Acoustics, Speech and Signal Processing	B1
ICAT	International Conference on Artificial Reality and Telexistence	B2
ICB	International Conference on Biometrics	A2
ICC	IEEE International Conference on Communications	A1
ICCA	International Conference on Control and Automation	B1
ICCAD	IEEE/ACM International Conference on ComputerAided Design	A1
ICCCN	International Conference on Computer Communications and Networks	A2
ICCD	International Conference on Computer Design	A2
ICCDCS	International Caribbean Conference on Devices, Circuits and Systems	B3
ICCE	IEEE International Conference on Consumer Electronics	B5
ICCEBerlin	IEEE International Conference on Consumer Electronics Berlin	B3
ICCP	IEEE International Conference on Intelligent Computer Communication and Processing	B2
ICCPS	International Conference on Cyber-Physical Systems	B2
ICCS	International Conference on Computational Science	A1
ICCSA	International Conference on Computational Science and Its Applications	B1
ICCSIT	International Conference on Computer Science and Information Technology	B4
ICCVE	International Conference on Connected Vehicles & Exp	B4
ICCW	IEEE International Conference on Communications Workshops	B4
ICDAR	International Conference on Document Analysis and Recognition	A1
ICDCS	International Conference on Distributed Computing Systems	A1
ICDE	IEEE International Conference on Data Engineering	A1
ICDM	IEEE International Conference on Data Mining	A1
ICDP	International Conference on Imaging for Crime Detection and Prevention	B5
ICDS	IARIA International Conference on Digital Society	B5
DSP	IEEE International Conference on Digital Signal Processing	B1
ICEBE	International Conference on e-Business Engineering	B1
ICEC	IFIP International Conference on Entertainment Computing	B1
ICECS	IEEE International Conference on Electronics, Circuits and Systems	B2
ICED	International Conference on Engineering Design	B3
ICEIS	International Conference on Enterprice Information Systems	B2
ICFEM	International Conference on Formal Engineering Methods	B1
ICFHR	International Conference on Frontiers in Handwriting Recognition	B1
ICGSE	IEEE International Conference on Global Software Engineering	B1
ICIAP	International Conference on Image Analysis and Processing	B1
ICIAR	International Conference on Image Analysis and Recognition	B1
ICIC	International Conference on Intelligent Computing	B1
ICIEOM	International Conference on Industrial Engineering and Operations Management	B5
ICIIP	International Conference on Image Information Processing	B3
ICINCO	International Conference on Informatics in Control, Automation and Robotics	B2
ICIP	IEEE International Conference on Image Processing	A1
ICIQ	International Conference on Information Quality	B5
ICIS	International Conference on Computer and Information Science	A1
ICIST	International Conference on Information and Software Technologies	B3
ICIT	IEEE International Conference on Industrial Technology	B3
ICITST	International Conference for Internet Technology and Secured Transactions	B1
ICIW	IARIA International Conference on Internet and Web Applications and Services	B5
ICLP	International Conference on Logic Programming	B2
ICM	International Conference on Microelectronics	B2
ICMC	International Computer Music Conference	B2
ICME	IEEE International Conference on Multimedia and Expo	B2
ICML	International Conference on Machine Learning	A1
ICMLA	IEEE International Conference on Machine Learning and Applications	B1
ICMR	"ACM International Conference on Multimedia Information Retrieval "	A1
ICN	IARIA International Conference on Networks	B5
ICNC	International Conference on Computing, Networking and Communications	A2
ICNC-FSKD	International Conference on Natural Computation	B1
ICNS	IARIA International Conference on Networking and Services	B5
ICONIP	International Conference on Neural Information Processing	B1
ICONS	IARIA International Conference on Systems	B5
ICPADS	International Conference on Parallel and Distributed Systems	A2
ICPC	International Conference on Program Comprehension	A2
