SIGLA   NOMECONFERENCIA        Qualis
ENIAC	Encontro Nacional de Inteligencia Artificial e Computacional	B4
ENIC	European Network Intelligence Conference	B2
EPAMUS	International Workshop on Engineering Parallel and Multi-core Systems	B5
EPIA	Portuguese Conference on Artificial Intelligence	B1
ER	International Conference on Conceptual Modeling	B1
ERLANG	ACM SIGPLAN Erlang Workshop	B4
ESA	European Symposium on Algorithms	A2
ESANN	European Symposium on Artificial Neural Networks Computational Intelligence and Machine Learning	B1
ESCIENCE	IEEE International Conference on e-Science	B1
ESELAW	Workshop Latinoamericano de Ingenierí_a de Software Experimental	B4
ESEM	ACM/IEEE International Symposium on Empirical Software Engineering and Measurement	A2
ESORICS	European Symposium on Research in Computer Security	A2
ESWS	European Semantic Web Conference	A1
ETELEMED-IARIA	IARIA International Conference on eHealth Telemedicine and Social Medicine	B5
ETFA	IEEE International Conference on Emerging Technologies and Factory Automation	B2
ETRA	Biennial ACM Symposium on Eye Tracking Research & Applications	A2
ETS	IEEE European Test Symposium	B1
EUC	IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing	B2
EUMAS	European Conference on Multi-Agent Systems	B2
EURO	European Conference on Operational Research	B4
EUROCG	European Workshop on Computational Geometry	B5
EUROCOMB	"European Conference on Combinatorics	 Graph Theory and Applications"	B5
EuroGP	European Conference on Genetic Programming	B1
EUROHAPTICS	Eurohaptics	B3
EUROITV	European Conference on Interactive TV and Video	B1
EUROMICRO	Euromicro Conference on Software Engineering and Advanced Applications	B1
EUROPAR	European Conference on Parallel Computing	A1
EuroParW	Parallel Processing Workshops	B4
EUROPKI	European Public Key Infrastructure Workshop	B4
EuroPloP	European Conference on Pattern Languages of Programs	B3
EUROSIM	Congress on Modelling and Simulation	B5
EuroSPI	European Conference on Software Process Improvement	B1
EUROSYS	European Conference on Computer Systems	A1
EuroVISW	EuroVis Workshop on Visual Analytics (EuroVA)	B5
EUSFLAT	Conference of the European Society for Fuzzy Logic and Technology	B1
EUSIPCO	European Signal Processing Conference	A2
EUVIP	European Workshop on Visual Information Processing	B2
EVA	Electronic Visualisation and the Arts	B3
EVLBP	International Workshop on Evolutionary Business Processes	B4
EVOAPPLICATIONS	European Conference on the Applications of Evolutionary Computation	B1
EVOCOP	European Conference on Evolutionary Computation in Combinatorial Optimization	B1
EWSDN	European Workshop on Software Defined Networks	B1
EWSN	European Conference on Wireless Sensor Networks	B2
EXAMPI	Workshop on Exascale MPI	B4
EXP.AT	Experiment@ International Conference	B3
FACS	International Conference on Formal Aspects of Component Software	B2
FASE	International Conference on Fundamental Approaches to Software Engineering	A2
FAW	International Frontiers of Algorithmics Workshop	B2
FCA4AI	Workshop What can FCA do for Artificial Intelligence	B5
FCCM	IEEE Annual International Symposium on Field-Programmable Custom Computing Machines	A2
FCTA	International Conference on Fuzzy Computation Theory and Applications	B4
FDL	Forum on Specification and Design Languages	B2
FECS-WS	WS International Conference on Frontiers in Education: Computer Science and Computer Engineering	B5
FEDCSIS	Federated Conference on Computer Science and Information Systems	B1
FG	Conference on Formal Grammar	B2
FGR	IEEE International Conference on Automatic Face and Gesture Recognition	A1
FIE	IEEE Frontiers in Education Conference	B1
FINS	International Workshop on Future Internet and Smart Networks	B5
FLAIRS	International Florida Artificial Intelligence Conference	B1
FLinAI	Workshop on Fuzzy Logic in AI	B4
FLINS	International FLINS Conference on Decision Making and Soft Computing	B5
FM	International Symposium on Formal Methods	A2
FMCAD	International Conference on Formal Methods in Computer-Aided Design	A2
FOCI	IEEE Symposium on Foundations of Computational Intelligence	B4
FOFAI	International Workshop on Formal Ontologies for Artificial Intelligence	B4
FOGA	ACM Conference on Foundations of Genetic Algorithms	B3
FOIS	International Conference on Formal Ontology in Information Systems	B3
FORMATS	International Conference on Formal Modeling and Analysis of Timed Systems	B2
FOSD	International Workshop on Feature-Oriented Software Development	B2
FPL	International Conference on Field-Programmable Logic and Applications	A2
FSE/ESEC	Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering	A1
FSEW	Workhops of the SIGSOFT FSE International Symposium on Foundations of Software Engineering	B4
FSKD	International Conference on Fuzzy Systems and Knowledge Discovery	B1
FSTTCS	Annual Conference on Foundations of Software Technology and Theoretical Computer Science	B1
FTXS	Workshop on Fault Tolerance for HPC at eXtreme Scale	B4
FUSION	International Conference on Information Fusion	A1
FUZZIEEE	IEEE International Conference on Fuzzy Systems	B1
GAMEON	Annual Simulation and AI in Games Conference	B3
GAS	International Workshop on Games and Software Engineering	B4
GCCE	IEEE Global Conference on Consumer Electronics	B4
GECCO	Genetic and Evolutionary Computation Conference	A1
GECON	"International Conference on Economics of Grids	 Clouds  Systems and Services"	B2
GEOINFO	Brazilian Symposium on GeoInformatics	B3
GeoPrivacy	Workshop on Privacy in Geographic Information Collection and Analysis	B4
